OrderBy,player1,player1,player1_score,player2_score,Event,winner
353,Fotten,Mental,5,3,Season 5,Fotten
352,Aby,Afflatus Misery,5,3,Season 5,Aby
351,Gaspar,Tadlos,5,0,Season 5,Gaspar
350,D3xus,Ssylus,5,2,Season 5,D3xus
349,DarthSeppius,Habaduba,5,4,Season 5,DarthSeppius
348,Fotten,Darxy,5,0,Season 5,Fotten
347,Rosa,Sekirei,5,2,Season 5,Rosa
346,Tadlos,Jumpie,5,2,Season 5,Tadlos
345,LozKias,Lyonide,5,3,Season 5,LozKias
344,WorldBranstar,Kellerak,5,0,Season 5,WorldBranstar
343,Taokaka Meow,Aby,5,3,Season 5,Taokaka Meow
342,Freemard,SHeF-87,5,0,Season 5,Freemard
341,Sonder,Horken,5,2,Season 5,Sonder
340,Domitto,Ganondeurf,5,4,Season 5,Domitto
339,Lyonide,Kellerak,5,3,Season 5,Lyonide
338,Aby,Iona Rose,5,1,Season 5,Aby
337,D3xus,DarthSeppius,5,1,Season 5,D3xus
336,Hazu,VileMuffin,5,2,Season 5,Hazu
335,Afflatus Misery,Unicorn,5,4,Season 5,Afflatus Misery
334,Skyll,Aelz,10,3,Season 4,Skyll
333,Yin,Ganondeurf,5,0,Season 4,Yin
332,Guilu,Sett,10,2,Season 4,Guilu
331,Hazu,WorldBranstar,5,0,Season 4,Hazu
330,Sekirei,Nashley,5,0,Season 4,Sekirei
329,Billflop,Afflatus Misery,5,1,Season 4,Billflop
328,Amancio Ortega,Kusoge,5,0,Season 4,Amancio Ortega
327,Tadlos,Pikapi,5,0,Season 4,Tadlos
326,LozKias,Blade of Flame,5,1,Season 4,LozKias
325,Kellerak,Taokaka Meow,5,4,Season 4,Kellerak
324,Valhanya,Billflop,5,3,Season 4,Valhanya
323,PanPan,Tadlos,5,4,Season 4,PanPan
322,Raziel,Ssylus,5,2,Season 4,Raziel
321,Zollith,Fotten,5,2,Season 4,Zollith
320,Lyonide,Graveryl,5,2,Season 4,Lyonide
319,Afflatus Misery,Mental,5,3,Season 4,Afflatus Misery
318,Ventras,Hazu,5,2,Season 4,Ventras
317,Fanlee Jr,LEV77,5,1,Season 4,Fanlee Jr
316,Deyan87,Faultroll,5,4,Season 4,Deyan87
315,Nins,Jumpie,5,4,Season 4,Nins
314,Yin,Domitto,5,2,Season 4,Yin
313,LozKias,MonkeyKing,5,2,Season 4,LozKias
312,VileMuffin,Taokaka Meow,5,0,Season 4,VileMuffin
311,Mental,Tadlos,5,4,Season 4,Mental
310,Sett,Spirit410,5,1,Season 4,Sett
309,Zollith,SpartanTigra,5,4,Season 4,Zollith
308,Aby,dopppa,5,1,Season 4,Aby
307,Guilu,Darxy,10,2,Season 4,Guilu
306,Kellerak,Sekirei,5,4,Season 4,Kellerak
305,SHeF-87,Zephyrion,5,2,Season 4,SHeF-87
304,Afflatus Misery,Momotehk,5,1,Season 4,Afflatus Misery
303,Ganondeurf,Aarpia,10,9,Season 4,Ganondeurf
302,Fotten,Fanlee Jr,5,4,Season 4,Fotten
301,Lyonide,Jazair,5,2,Season 4,Lyonide
300,Nins,REKORDER,5,1,Season 4,Nins
299,Habaduba,Spirit410,5,2,Season 4,Habaduba
298,Lyonide,Aby,5,1,Season 4,Lyonide
297,Cpt-GI,Momotehk,5,1,Season 4,Cpt-GI
296,Greywall,polosaty,5,0,Season 4,Greywall
295,Hamidumi,Miha Senju,5,1,Season 4,Hamidumi
294,Blade of Flame,Ventras,4,1,Season 4,Blade of Flame
293,Taokaka Meow,Jazair,5,2,Season 4,Taokaka Meow
292,Amancio Ortega,Afflatus Misery,5,3,Season 4,Amancio Ortega
291,Jumpie,REKORDER,5,0,Season 4,Jumpie
290,Aelz,Ssylus,10,2,Season 4,Aelz
289,Sett,Guilu,10,9,Season 4,Sett
288,Fotten,Hazu,5,4,Season 4,Fotten
287,Domitto,Baddy,5,3,Season 4,Domitto
286,Taokaka Meow,Graveryl,5,2,Season 4,Taokaka Meow
285,Kellerak,Aby,5,1,Season 4,Kellerak
284,Momotehk,Miha Senju,5,3,Season 4,Momotehk
283,D3xus,Aarpia,10,3,Season 4,D3xus
282,Hazu,Jazair,5,2,Season 4,Hazu
281,Zollith,Lyonide,5,2,Season 4,Zollith
280,Amancio Ortega,Tadlos,5,0,Season 4,Amancio Ortega
279,Habaduba,DarthSeppius,10,2,Season 4,Habaduba
278,Sett,Ventras,5,2,Season 4,Sett
277,Zollith,Zephyrion,5,4,Season 4,Zollith
276,Momotehk,polosaty,5,4,Season 4,Momotehk
275,Guilu,LozKias,5,2,Season 4,Guilu
274,Lyonide,Cpt-GI,5,2,Season 4,Lyonide
273,Kellerak,Drunky,5,2,Season 4,Kellerak
272,Skyll,D3xus,10,5,Season 4,Skyll
271,Fotten,Taokaka Meow,5,3,Season 4,Fotten
270,Tadlos,Pikapi,5,3,Season 4,Tadlos
269,MPhantasm,The Arpeggiator,5,3,Season 4,MPhantasm
268,Darxy,Valhanya,5,4,Season 4,Darxy
267,Hazu,Stray,5,0,Season 4,Hazu
266,Unicorn,Afflatus Misery,5,4,Season 4,Unicorn
265,Amancio Ortega,Jumpie,5,1,Season 4,Amancio Ortega
264,Ventras,WorldBranstar,5,1,Season 4,Ventras
263,VileMuffin,Zephyrion,5,1,Season 4,VileMuffin
262,Kellerak,polosaty,5,1,Season 4,Kellerak
261,The Arpeggiator,Momotehk,5,0,Season 4,The Arpeggiator
260,Guilu,Sett,5,4,Season 4,Guilu
259,Zanaken,Fotten,5,4,Season 4,Zanaken
258,Stray,Aby,4,2,Season 4,Stray
257,Lyonide,Iona Rose,5,1,Season 4,Lyonide
